,tenure,MonthlyCharges,TotalCharges,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_Two year,PaymentMethod_Electronic check
6489,1,18.85,18.85,0,1,1,0,0
4183,1,33.6,33.6,0,0,1,0,0
4489,64,53.85,3399.85,0,0,0,0,0
2797,3,100.95,329.95,1,0,1,0,1
5134,15,80.2,1217.25,1,0,1,0,1
6724,64,70.2,4481.0,0,0,0,1,0
2823,39,20.45,790.0,0,1,0,1,0
6522,43,34.0,1505.35,0,0,1,0,0
4753,4,80.85,302.75,1,0,1,0,1
5358,18,19.25,331.35,0,1,1,0,0
522,55,85.5,4713.4,1,0,1,0,0
1497,51,79.15,4018.55,1,0,1,0,0
2887,1,45.05,45.05,0,0,1,0,0
3342,40,62.05,2511.55,0,0,0,0,0
4931,15,103.45,1539.8,1,0,1,0,1
6903,35,69.0,2441.7,0,0,0,0,1
1751,14,89.95,1178.4,1,0,1,0,1
4733,12,84.6,959.9,1,0,1,0,1
1084,52,19.6,1012.4,0,1,0,0,0
7038,24,84.8,1990.5,0,0,0,0,0
778,59,107.0,6152.3,1,0,0,0,0
2243,66,100.8,6690.75,1,0,1,0,1
1779,2,91.15,168.5,1,0,1,0,1
5940,56,85.85,4793.8,1,0,0,0,0
1877,72,88.55,6362.35,0,0,0,1,0
632,72,89.85,6562.9,0,0,0,1,0
5470,71,89.45,6435.25,1,0,0,1,0
3374,2,54.85,104.2,0,0,1,0,0
162,2,69.7,135.2,1,0,1,0,1
1126,7,74.65,544.55,1,0,1,0,0
6769,48,19.85,916.0,0,1,0,1,0
3569,17,19.95,310.6,0,1,0,0,0
1512,14,84.8,1203.9,1,0,1,0,1
3221,3,29.75,96.85,0,0,1,0,1
2161,2,75.8,160.75,1,0,1,0,1
6376,66,19.35,1240.8,0,1,0,1,0
1004,21,20.0,417.7,0,1,1,0,0
3634,72,113.8,7845.8,1,0,0,1,0
5724,1,71.35,71.35,1,0,1,0,0
1115,39,53.85,2200.7,0,0,0,1,0
986,12,43.8,540.95,0,0,1,0,0
4099,6,29.45,161.45,0,0,1,0,0
1684,35,50.15,1655.35,0,0,1,0,0
2200,19,58.2,1045.25,0,0,0,0,1
3999,2,69.6,131.65,1,0,1,0,1
4816,55,75.0,4213.9,0,0,0,0,0
380,41,86.2,3339.05,1,0,0,0,0
3324,1,75.55,75.55,1,0,1,0,1
3118,44,19.5,835.5,0,1,0,0,0
1293,67,111.2,7530.8,1,0,0,1,0
4227,69,80.65,5542.55,0,0,0,1,0
4722,60,70.15,4224.7,0,0,0,0,0
5687,43,90.65,3882.3,1,0,0,0,0
1633,1,43.8,43.8,0,0,1,0,1
931,33,80.6,2651.1,1,0,0,1,0
5942,9,48.75,442.2,0,0,1,0,1
3635,72,24.55,1750.7,0,1,0,1,1
90,30,82.05,2570.2,1,0,1,0,0
4127,56,24.8,1424.2,0,1,0,1,0
105,5,24.3,100.2,0,0,1,0,0
2700,35,24.15,812.5,0,0,1,0,1
3392,58,44.1,2413.05,0,0,0,0,0
5682,1,35.0,35.0,0,0,1,0,1
1655,3,44.3,134.5,0,0,1,0,0
4886,7,19.9,173.15,0,1,0,0,0
339,63,103.4,6603.0,1,0,1,0,1
1185,1,60.15,60.15,0,0,1,0,1
6313,2,95.85,197.7,1,0,1,0,1
5403,54,86.2,4524.05,0,0,1,0,1
6728,72,115.15,8349.7,1,0,0,1,1
1346,14,87.25,1258.6,1,0,1,0,1
5352,26,98.65,2537.0,1,0,1,0,1
2542,35,72.1,2495.15,0,0,0,0,0
2911,1,73.5,73.5,1,0,1,0,0
5051,56,105.35,5794.45,1,0,1,0,0
4002,72,80.85,5727.45,0,0,0,1,0
702,29,84.9,2516.2,1,0,1,0,1
6204,13,25.15,331.85,0,0,1,0,0
3203,72,88.05,6520.8,0,0,0,1,0
1925,59,72.1,4194.85,0,0,0,1,0
2650,15,84.35,1302.65,1,0,1,0,0
6744,68,101.35,7110.75,1,0,0,0,0
652,35,20.1,655.3,0,1,0,1,0
6930,3,75.15,216.75,1,0,1,0,0
4200,65,59.95,3921.1,0,0,0,1,0
4539,67,79.7,5293.4,0,0,0,1,1
3648,51,90.15,4554.85,1,0,0,0,1
2216,64,108.95,7111.3,1,0,1,0,0
6050,61,99.4,5943.65,1,0,1,0,0
112,43,91.65,3954.1,1,0,1,0,1
6919,54,89.4,4869.5,1,0,1,0,0
4374,71,19.6,1387.45,0,1,0,1,0
6476,53,64.15,3491.55,0,0,0,0,0
4058,40,84.85,3303.05,1,0,1,0,1
4719,36,84.9,3067.2,1,0,1,0,1
1353,66,20.35,1359.5,0,1,0,0,1
4798,36,74.9,2659.45,1,0,1,0,0
1500,37,40.2,1478.85,0,0,1,0,0
5910,6,60.9,414.1,0,0,1,0,0
2723,21,20.5,402.85,0,1,1,0,0
6664,36,104.8,3886.45,1,0,0,0,0
2935,71,86.1,6045.9,0,0,0,1,0
4543,41,19.5,798.2,0,1,0,0,0
4321,14,80.35,1058.1,1,0,1,0,0
4923,52,49.75,2535.55,0,0,1,0,0
5478,52,106.3,5487.0,1,0,0,1,1
5043,19,90.6,1660.0,1,0,1,0,1
2857,47,63.8,3007.25,0,0,0,1,0
484,8,83.55,680.05,1,0,1,0,1
6560,23,19.8,465.45,0,1,0,0,0
6991,8,95.65,778.1,1,0,1,0,0
2924,11,74.55,824.75,1,0,1,0,1
2299,48,55.5,2627.35,0,0,0,1,0
1234,54,105.85,5826.65,1,0,0,0,1
836,62,71.4,4487.3,0,0,0,0,0
1646,59,65.5,3801.3,0,0,0,0,0
2327,26,85.7,2067.0,1,0,1,0,0
2101,37,99.2,3754.6,1,0,0,0,1
4876,10,104.4,1081.45,1,0,1,0,1
2150,21,84.1,1737.45,1,0,1,0,1
242,41,74.7,3187.65,0,0,0,0,0
6338,1,20.25,20.25,0,1,1,0,0
1408,71,104.1,7412.25,1,0,0,0,0
3069,10,20.55,187.35,0,1,1,0,0
148,30,64.5,1929.95,0,0,0,0,0
1114,32,98.85,3145.9,1,0,1,0,0
4214,4,90.05,368.1,1,0,1,0,1
2925,50,103.05,5153.5,1,0,0,0,0
3894,68,118.6,7990.05,1,0,0,1,0
2507,71,24.5,1816.2,0,1,0,1,1
337,68,88.15,6148.45,0,0,0,1,1
5576,1,53.55,53.55,0,0,1,0,0
4280,64,19.7,1274.05,0,1,0,1,0
1446,1,50.05,50.05,0,0,1,0,1
2810,65,103.9,6767.1,1,0,0,0,0
6844,29,89.65,2623.65,1,0,1,0,0
5073,22,49.45,1031.4,0,0,0,0,0
6263,25,54.2,1423.15,0,0,0,0,1
1493,11,79.5,795.65,1,0,1,0,0
249,42,99.0,4298.45,1,0,0,0,1
2356,46,45.2,2065.15,0,0,1,0,0
1661,65,108.8,7082.45,1,0,1,0,0
1489,23,57.75,1282.85,0,0,0,0,0
5350,53,69.7,3686.05,0,0,0,1,0
5476,5,84.85,415.55,1,0,1,0,0
5661,4,19.85,63.0,0,1,1,0,1
6640,28,50.8,1386.8,0,0,0,0,0
6563,15,74.9,1107.25,1,0,1,0,0
526,72,115.75,8399.15,1,0,0,1,0
266,50,24.9,1195.25,0,1,0,1,0
1705,55,90.45,5044.8,1,0,1,0,1
314,5,80.6,415.55,1,0,1,0,1
700,66,63.3,4189.7,0,0,0,1,0
749,63,90.05,5817.0,1,0,0,0,0
1433,9,68.95,593.85,0,0,1,0,0
4188,28,103.3,2890.65,1,0,1,0,1
6578,10,73.55,693.3,0,0,0,0,0
901,9,98.3,923.5,1,0,1,0,0
1046,52,74.0,3877.65,0,0,0,0,0
5198,47,80.35,3825.85,1,0,1,0,1
2395,31,90.7,2835.5,1,0,0,0,1
5228,9,44.4,348.15,0,0,1,0,0
5683,39,50.75,2011.4,0,0,1,0,1
5058,30,48.8,1536.75,0,0,1,0,0
5426,51,75.2,3901.25,0,0,0,1,0
1962,23,99.95,2292.75,1,0,0,0,0
3854,50,109.65,5405.8,1,0,1,0,0
1774,1,48.75,48.75,0,0,1,0,0
205,33,79.95,2684.85,1,0,0,0,0
5333,13,88.35,1222.8,1,0,1,0,1
3748,48,78.9,3771.5,0,0,0,1,0
6413,32,91.05,2954.5,1,0,1,0,0
4681,9,83.85,790.15,1,0,1,0,1
603,46,108.65,4903.2,1,0,0,1,1
5328,55,66.05,3462.1,0,0,0,0,0
4108,33,19.45,600.25,0,1,0,0,0
6442,67,50.55,3431.75,0,0,0,0,0
3495,1,75.35,75.35,1,0,1,0,1
5492,65,25.3,1748.55,0,1,0,1,0
77,8,54.65,482.25,0,0,1,0,0
4463,1,69.85,69.85,1,0,1,0,1
4815,38,70.45,2597.6,1,0,0,0,0
1088,17,100.45,1622.45,1,0,1,0,0
1090,51,107.45,5680.9,1,0,0,0,0
4166,32,19.8,587.7,0,1,0,0,0
1452,52,48.8,2555.05,0,0,1,0,0
4452,70,86.45,5950.2,0,0,0,1,0
1062,34,50.2,1815.3,0,0,1,0,0
4829,12,45.0,524.35,0,0,1,0,0
5234,40,105.75,4228.55,1,0,0,0,0
308,38,101.15,3741.85,1,0,1,0,1
94,72,100.9,7459.05,1,0,0,1,0
4456,68,24.95,1614.9,0,1,0,1,0
4249,10,65.9,660.05,0,0,0,0,0
3151,15,75.1,1151.55,1,0,1,0,0
4364,63,80.3,4995.35,0,0,0,1,0
5829,31,59.95,1848.8,0,0,0,0,1
6495,1,69.65,69.65,1,0,1,0,1
287,1,70.0,70.0,1,0,1,0,1
6712,28,85.45,2289.9,1,0,1,0,1
6444,31,79.45,2587.7,0,0,0,0,0
5527,72,105.0,7578.05,1,0,0,0,0
4053,11,60.25,662.95,0,0,1,0,0
188,13,19.65,244.8,0,1,0,0,1
4024,7,25.05,189.95,0,0,1,0,0
654,8,19.65,164.3,0,1,1,0,1
6853,54,111.1,6014.85,1,0,1,0,1
7026,9,44.2,403.35,0,0,1,0,0
2208,1,100.8,100.8,1,0,1,0,1
6648,20,20.05,406.05,0,1,1,0,0
6929,25,20.05,471.7,0,1,1,0,0
1843,71,19.7,1415.85,0,1,0,1,0
3554,7,71.05,472.65,1,0,1,0,1
5339,30,85.45,2509.95,1,0,1,0,1
2638,52,105.0,5426.85,1,0,0,0,0
3980,28,105.7,2979.5,1,0,1,0,1
6351,50,103.7,5071.05,1,0,1,0,1
1339,66,105.0,7133.25,1,0,1,0,0
4268,35,89.7,3165.6,1,0,0,0,1
1055,36,19.55,620.75,0,1,0,0,0
6339,1,49.9,49.9,0,0,1,0,0
1388,12,58.35,740.55,0,0,1,0,0
1376,5,70.0,347.4,0,0,0,0,0
5511,70,76.95,5289.8,0,0,0,1,0
3777,47,19.3,890.5,0,1,0,1,0
4656,22,75.8,1615.1,1,0,1,0,0
4620,72,115.8,8332.15,1,0,0,1,0
5029,7,50.3,355.1,0,0,1,0,0
3038,67,105.6,7112.15,1,0,0,0,1
1947,70,90.25,6385.95,1,0,0,0,0
1673,41,113.6,4594.95,1,0,1,0,0
152,70,108.15,7930.55,1,0,0,0,0
4634,2,18.75,53.15,0,1,1,0,0
2147,18,19.0,348.8,0,1,1,0,1
5385,53,85.45,4517.25,1,0,1,0,0
1560,39,45.05,1790.6,0,0,0,0,0
4061,14,50.1,709.5,0,0,1,0,0
71,52,20.4,1090.65,0,1,0,0,1
6774,1,19.65,19.65,0,1,1,0,0
1735,72,114.45,8100.55,1,0,0,1,0
6165,4,70.65,293.85,1,0,1,0,1
2209,8,19.55,161.15,0,1,1,0,0
2363,1,44.75,44.75,0,0,1,0,1
3240,54,106.55,5763.3,1,0,0,0,0
3644,39,25.0,1004.35,0,1,0,1,0
5639,6,20.65,109.3,0,1,1,0,0
3309,25,19.9,527.5,0,1,0,0,0
1749,52,110.75,5832.0,1,0,1,0,1
197,59,111.35,6519.75,1,0,1,0,1
3072,61,79.4,4820.55,0,0,0,0,1
6766,14,19.75,309.35,0,1,0,0,0
4668,2,61.2,125.95,0,0,1,0,0
2655,4,89.6,365.65,1,0,1,0,0
1534,69,19.8,1436.95,0,1,0,1,0
1363,72,92.0,6474.4,0,0,0,1,0
2981,67,20.5,1430.95,0,1,0,1,0
126,27,78.05,2135.5,1,0,1,0,1
177,7,76.45,503.6,1,0,1,0,0
2088,36,55.8,1941.5,0,0,0,0,1
5135,1,19.75,19.75,0,1,1,0,1
1978,57,69.75,3894.4,0,0,0,1,0
2022,16,86.25,1340.1,1,0,1,0,1
6048,29,94.45,2653.65,1,0,1,0,1
4094,1,74.0,74.0,1,0,1,0,1
882,6,83.9,497.55,1,0,1,0,1
1397,4,82.85,319.6,1,0,1,0,0
6946,48,45.55,2108.35,0,0,1,0,0
4628,12,54.2,690.5,0,0,1,0,0
6987,35,108.35,3726.15,1,0,0,0,1
6757,51,59.3,3014.65,0,0,0,0,1
3564,63,90.45,5825.5,1,0,0,0,0
1977,31,90.7,2845.15,1,0,1,0,1
3586,5,40.0,223.45,0,0,1,0,0
835,60,93.25,5774.55,1,0,1,0,1
4384,2,79.7,165.0,1,0,1,0,0
3379,2,19.3,44.4,0,1,1,0,0
2378,35,70.3,2416.55,1,0,1,0,1
5560,61,94.15,5731.85,1,0,1,0,0
121,6,20.7,112.75,0,1,1,0,0
905,9,100.5,918.6,1,0,1,0,1
6783,21,53.15,1183.2,0,0,0,1,0
6094,57,20.55,1252.85,0,1,0,1,0
1828,42,25.05,949.85,0,1,0,0,1
2601,72,98.65,7129.45,1,0,0,1,0
6064,1,45.3,45.3,0,0,1,0,0
6940,72,55.65,3880.05,0,0,0,1,0
5695,72,80.45,5737.6,1,0,0,1,0
747,3,75.05,202.9,1,0,1,0,0
3562,5,89.8,502.6,1,0,1,0,1
5834,65,105.05,6914.95,1,0,1,0,1
3369,11,55.6,580.8,0,0,1,0,1
5020,41,19.85,810.45,0,1,0,1,0
1459,60,99.65,5941.05,1,0,0,1,1
4648,2,70.3,144.0,1,0,1,0,1
2477,3,86.05,244.85,1,0,1,0,0
2664,62,94.95,5791.85,1,0,0,0,0
1109,40,50.15,2058.5,0,0,1,0,0
4740,24,39.1,971.3,0,0,1,0,0
6037,63,109.4,7031.45,1,0,1,0,0
6519,63,91.35,5764.7,1,0,0,0,1
3986,66,96.6,6424.25,1,0,0,1,0
5899,67,75.7,5060.85,1,0,1,0,0
6445,4,90.65,367.95,1,0,1,0,1
4022,10,18.85,163.2,0,1,1,0,0
2658,14,18.8,255.55,0,1,0,1,0
2829,8,69.7,560.85,1,0,1,0,1
1362,4,70.2,237.95,1,0,1,0,1
5251,5,69.05,318.5,1,0,1,0,0
4289,54,20.1,1079.45,0,1,0,1,0
6798,13,70.15,886.7,1,0,1,0,0
1309,18,85.2,1553.9,1,0,1,0,1
434,41,19.75,899.45,0,1,0,1,1
1317,3,24.6,86.35,0,1,1,0,0
1000,7,95.35,660.9,1,0,1,0,1
1085,13,74.3,940.35,1,0,1,0,1
2386,43,50.2,2169.4,0,0,1,0,0
1475,69,105.4,6998.95,1,0,0,1,0
525,52,91.25,4738.3,1,0,0,0,1
4905,58,19.85,1158.85,0,1,0,1,0
580,12,19.0,233.55,0,1,1,0,0
18,10,55.2,528.35,0,0,1,0,0
4195,45,70.05,3062.45,0,0,1,0,1
4309,22,50.6,1073.3,0,0,1,0,1
4013,2,54.35,117.05,0,0,1,0,0
1351,11,20.45,250.8,0,1,1,0,1
3949,18,57.65,992.7,0,0,1,0,0
5900,37,40.2,1448.8,0,0,1,0,0
982,39,47.85,1886.4,0,0,0,0,1
6228,70,64.95,4551.5,0,0,0,0,0
6321,30,19.65,655.85,0,1,1,0,0
4570,7,18.95,130.55,0,1,1,0,0
6756,22,89.75,1938.9,1,0,1,0,0
1113,37,78.95,2839.65,1,0,1,0,0
2059,37,92.95,3415.25,1,0,1,0,1
5836,6,19.15,124.4,0,1,0,0,0
5756,53,19.85,1049.6,0,1,0,1,0
4711,32,19.8,607.7,0,1,0,0,0
3637,9,20.25,178.5,0,1,1,0,0
2680,71,85.45,6029.9,0,0,0,1,0
1174,14,54.25,773.2,0,0,0,0,0
2438,8,103.35,847.3,1,0,1,0,0
489,1,74.35,74.35,1,0,1,0,1
2496,18,20.05,388.6,0,1,0,1,0
2109,34,26.1,980.35,0,1,0,1,0
962,8,60.9,551.95,0,0,1,0,0
2871,14,86.1,1235.55,1,0,1,0,1
3136,17,70.0,1144.5,1,0,1,0,1
648,2,89.5,161.5,1,0,1,0,1
521,29,51.6,1442.0,0,0,1,0,1
4285,45,73.85,3371.0,0,0,0,1,0
134,2,44.35,81.25,0,0,1,0,1
4789,1,71.1,71.1,1,0,1,0,0
3270,4,100.85,399.25,1,0,1,0,0
6170,1,19.4,19.4,0,1,1,0,0
5416,57,95.0,5535.8,1,0,0,0,1
1964,66,54.8,3465.7,0,0,0,0,0
4434,16,90.7,1374.9,1,0,1,0,1
4590,57,101.3,5779.6,1,0,0,1,0
2523,47,20.25,873.4,0,1,0,1,0
5018,72,19.7,1379.8,0,1,0,1,0
2848,24,56.25,1454.25,0,0,0,0,0
5402,9,20.35,191.1,0,1,0,1,0
6832,53,20.9,1146.05,0,1,0,1,0
1318,8,66.7,579.0,0,0,1,0,1
1189,3,85.7,256.75,1,0,1,0,0
6952,48,107.4,5121.3,1,0,1,0,0
2235,41,78.35,3211.2,0,0,0,0,0
5336,1,19.1,19.1,0,1,1,0,0
3744,26,75.5,2018.1,1,0,0,0,0
4184,5,79.9,343.95,1,0,1,0,0
491,2,59.0,114.15,0,0,1,0,1
903,56,105.6,6068.65,1,0,0,0,0
3740,2,71.65,135.75,1,0,1,0,1
5332,47,58.9,2813.05,0,0,0,0,0
1002,4,69.55,284.9,1,0,1,0,0
6183,44,54.3,2317.1,0,0,0,0,1
6690,37,94.3,3460.95,1,0,0,1,0
3650,71,24.65,1766.75,0,1,0,1,0
497,70,19.8,1397.65,0,1,0,1,0
1443,3,55.8,154.55,0,0,1,0,0
5555,70,19.8,1378.75,0,1,0,1,0
1581,21,36.0,780.15,0,0,1,0,0
2309,57,90.45,5229.8,1,0,0,1,0
5355,48,95.4,4445.3,1,0,1,0,1
6132,67,53.4,3579.15,0,0,1,0,0
6102,64,85.0,5484.4,0,0,0,1,0
5069,4,75.35,338.1,1,0,1,0,1
5846,3,76.1,257.6,1,0,1,0,1
6323,40,105.95,4335.2,1,0,0,0,0
3082,51,59.9,3043.6,0,0,0,0,0
3577,36,65.4,2498.4,0,0,0,0,0
3953,6,74.4,434.1,1,0,1,0,1
2354,9,19.6,197.4,0,1,0,1,0
6244,54,99.05,5295.7,1,0,1,0,0
6277,2,20.35,33.2,0,1,1,0,0
1563,4,69.35,261.65,1,0,1,0,1
5098,3,77.0,237.75,1,0,1,0,1
5455,6,19.7,129.55,0,1,1,0,0
2604,29,100.55,2878.75,1,0,1,0,0
589,71,90.4,6668.05,0,0,0,1,1
6834,15,38.8,603.0,0,0,0,1,0
915,1,73.55,73.55,1,0,1,0,1
3397,68,91.7,6424.7,0,0,0,1,1
2637,36,40.65,1547.35,0,0,0,1,0
1817,72,98.35,6929.4,1,0,0,1,0
917,72,65.55,4807.45,0,0,0,1,0
2341,68,114.9,7843.55,1,0,0,1,0
3030,1,79.55,79.55,1,0,1,0,1
6059,39,40.3,1630.4,0,0,0,0,0
4437,60,101.15,6067.4,1,0,0,1,0
2562,66,50.55,3364.55,0,0,0,1,0
5926,6,78.65,483.3,0,0,1,0,0
6187,8,20.15,165.5,0,1,0,1,0
268,59,19.35,1099.6,0,1,0,1,0
2030,2,60.95,134.6,0,0,1,0,0
1723,6,20.1,100.35,0,1,0,1,0
4636,44,20.0,860.85,0,1,0,0,0
1904,56,94.45,5124.6,1,0,1,0,1
4884,41,94.9,3848.0,1,0,1,0,0
1712,29,55.25,1620.2,0,0,0,0,1
2184,2,88.55,179.25,1,0,1,0,1
4707,49,109.2,5290.45,1,0,0,0,0
6890,53,61.1,3357.9,0,0,0,0,1
1623,54,97.2,5129.45,1,0,0,1,0
4591,10,21.2,222.65,0,1,1,0,1
3587,9,99.45,919.4,1,0,1,0,0
5786,72,84.4,6096.45,0,0,0,1,0
4467,48,69.55,3435.6,0,0,0,0,0
1531,35,25.75,882.55,0,1,1,0,1
4324,40,67.45,2731.0,0,0,1,0,1
6378,13,84.05,1095.3,1,0,1,0,1
3557,33,59.45,1884.65,0,0,1,0,0
3086,17,95.65,1640.0,1,0,1,0,0
4126,6,19.55,122.9,0,1,1,0,0
2173,4,86.05,308.1,1,0,1,0,1
3456,67,85.25,5714.2,0,0,0,1,0
6748,1,85.0,85.0,1,0,1,0,1
5960,62,84.45,4959.15,1,0,0,0,1
4201,72,19.55,1463.45,0,1,0,1,0
1013,1,49.5,49.5,0,0,1,0,1
87,48,20.65,1057.0,0,1,0,1,0
5575,70,78.35,5445.95,0,0,0,0,0
1948,2,80.75,159.45,1,0,1,0,1
2798,10,94.9,1048.85,1,0,1,0,1
238,11,95.0,1120.3,1,0,1,0,1
4526,13,73.75,956.65,1,0,1,0,0
802,39,23.8,903.8,0,1,0,1,0
291,35,61.2,2021.2,0,0,0,0,0
5757,28,25.7,734.6,0,1,1,0,0
4458,38,94.65,3624.3,1,0,1,0,1
2432,50,25.2,1306.3,0,1,0,0,1
5421,38,20.05,741.5,0,1,0,1,0
3726,16,89.05,1448.6,1,0,1,0,0
4343,8,75.75,606.25,1,0,1,0,1
4133,56,98.6,5581.05,1,0,1,0,1
6198,25,25.5,630.6,0,1,0,1,0
558,11,70.2,760.05,1,0,1,0,1
4524,23,99.25,2186.4,1,0,1,0,1
427,10,85.95,858.6,1,0,1,0,1
4964,26,74.95,1834.95,1,0,1,0,0
2906,6,48.8,297.35,0,0,1,0,0
4683,24,94.1,2322.85,1,0,1,0,1
6456,50,70.35,3533.6,1,0,0,1,0
2164,70,101.1,6994.8,1,0,0,1,0
5660,44,77.55,3471.1,0,0,0,0,0
4737,72,115.5,8312.75,1,0,0,1,0
2108,46,44.95,2168.9,0,0,1,0,0
2084,1,69.75,69.75,1,0,1,0,0
463,7,99.8,673.25,1,0,1,0,1
1104,42,19.55,839.4,0,1,0,0,0
1642,29,19.85,573.05,0,1,1,0,0
5449,67,103.15,6895.5,1,0,0,1,0
4064,1,50.15,50.15,0,0,1,0,1
5521,59,64.65,3735.45,0,0,1,0,1
5832,20,70.45,1470.95,1,0,1,0,1
2247,40,19.65,830.25,0,1,0,1,0
4225,8,20.25,158.35,0,1,1,0,0
6969,1,20.5,20.5,0,1,1,0,0
1209,56,93.15,5253.95,1,0,0,0,1
5759,1,70.15,70.15,1,0,1,0,0
3678,16,84.9,1398.25,0,0,1,0,1
1770,41,113.2,4689.5,1,0,1,0,1
6911,57,20.1,1087.7,0,1,0,1,0
3541,49,40.65,2070.75,0,0,1,0,0
658,2,19.85,35.9,0,1,0,0,0
1579,12,80.45,950.2,1,0,1,0,1
4297,45,73.55,3349.1,0,0,0,1,0
2895,37,19.85,717.5,0,1,0,0,0
6584,50,20.55,1070.25,0,1,0,1,0
4934,72,110.75,7751.7,1,0,0,1,1
147,1,45.65,45.65,0,0,1,0,1
3074,35,59.45,2136.9,0,0,1,0,0
457,30,80.8,2369.3,0,0,0,1,0
5142,66,104.55,6779.05,1,0,0,0,0
3000,12,84.45,1059.55,1,0,1,0,1
3340,5,83.15,446.05,1,0,1,0,0
