,Churn
3734,0
4096,0
5534,0
851,0
1981,1
4000,0
1659,0
4332,0
5307,0
6333,1
2858,0
4283,0
164,0
61,0
2232,0
1106,0
6566,0
2248,0
4744,0
1976,1
4844,0
1894,0
4145,0
4074,1
5726,0
3711,0
6179,1
2242,0
511,0
1570,0
3619,0
5436,0
1468,0
4148,0
6478,0
3238,0
1050,1
2596,0
865,1
1992,0
3149,0
5705,0
5850,1
3776,0
6871,0
2616,1
4487,0
3231,0
1701,1
1775,0
1276,0
2407,1
4743,0
3774,0
1306,1
4559,0
519,0
1700,0
3537,0
3517,1
2489,0
2258,0
2972,0
899,0
4092,0
6373,0
4873,0
3720,0
2099,0
4334,0
4230,1
2056,0
5982,0
5297,0
1624,1
2018,1
4267,0
3418,0
1154,0
2499,0
479,1
3632,0
4446,1
6363,0
1575,1
3640,1
3234,0
1279,0
4635,0
6122,0
4979,0
3498,1
1429,0
1519,1
2352,0
6544,1
4908,1
3682,1
5812,1
1996,0
1935,0
6167,0
622,0
1132,1
1802,0
6426,0
6541,0
5408,0
4355,0
4465,0
5318,0
4975,0
2403,0
4988,0
5981,0
2822,1
1341,1
2376,0
7013,0
2125,0
5952,0
4320,0
1762,0
1059,1
4015,0
4012,1
166,1
3602,0
4764,1
2505,0
2718,0
3662,1
5420,0
3668,0
2751,0
6652,0
1838,0
2004,1
3530,0
6369,0
5565,1
2006,1
1012,0
6395,1
1166,0
874,0
2958,0
2371,0
4057,0
3872,0
6354,0
2896,0
6979,0
3004,1
2699,0
3064,0
3046,0
2117,0
5304,0
4605,0
256,0
6986,1
5438,1
2951,0
3939,1
3477,0
4919,0
2702,0
5551,0
5666,0
4165,0
6809,1
1803,0
883,0
792,0
5590,0
825,1
5181,0
1740,0
2569,0
1314,1
5805,0
2412,1
742,1
4044,0
4810,1
1773,0
4279,0
3430,0
3212,0
5623,0
4624,1
5208,0
3982,0
366,0
218,0
2400,0
6492,0
6079,0
1003,0
772,1
581,1
6759,0
2332,0
6217,0
3060,0
63,0
4594,1
964,1
1710,0
124,0
2815,1
5147,0
2657,0
1853,1
7021,1
7040,0
368,0
3756,1
2493,0
3960,0
5447,0
5300,1
5001,1
2322,0
1089,0
2148,0
1402,1
6056,0
6400,0
72,0
2966,0
2416,0
3412,0
2475,0
3079,1
2532,0
2892,0
2448,1
6358,0
1724,0
1399,0
3452,0
4677,1
328,0
69,0
3275,0
4982,1
2092,0
6902,0
6384,0
81,0
6261,0
817,0
3057,0
544,1
4790,0
5794,0
1998,1
5867,0
6677,0
5774,0
2590,0
954,0
2456,0
3987,1
4472,0
1956,0
5723,0
3334,1
140,0
2538,0
6019,0
2436,0
6473,1
2415,1
3903,0
2827,0
6727,0
2143,0
4194,0
1271,0
6262,0
934,0
4009,0
4239,0
1467,0
1117,0
6408,1
5964,0
1856,1
699,0
2355,0
5961,0
2893,1
5010,0
5601,0
4175,0
1628,0
5614,0
6720,0
3575,0
5365,0
2130,1
5998,0
3078,1
2071,0
6974,0
2574,1
6625,1
5830,0
2614,1
669,0
4128,1
4845,0
988,0
4496,0
5015,0
4412,0
4726,0
2103,0
4710,0
1270,0
867,0
6811,1
775,0
3202,0
3454,0
6657,0
2469,0
3126,0
3773,1
4140,1
3088,0
2317,0
2644,1
1037,0
3683,0
3204,0
6898,0
2201,0
2293,0
1916,1
2536,1
6947,0
2587,0
6896,1
9,0
5780,0
6274,0
650,1
1822,1
6406,0
3707,0
1868,0
1844,0
4667,0
945,1
2423,0
2495,0
1728,0
393,0
1769,0
7033,0
2763,0
1777,0
2632,0
6450,0
1796,0
5641,0
2913,0
556,0
569,0
5951,0
4168,0
2745,1
3563,0
866,0
3804,0
5842,0
4520,1
6826,0
2578,1
4992,0
5113,0
3850,0
6688,0
3758,0
1782,0
416,0
5934,1
3135,1
5503,0
411,0
1801,0
1220,0
5862,0
5643,1
3077,0
1281,0
1061,0
3134,0
3163,0
4546,1
1988,1
6105,1
1396,1
6115,0
760,0
225,0
331,0
4887,0
2231,1
6031,0
2727,1
503,0
246,0
2626,0
2802,1
4896,0
2314,0
6789,1
6499,0
3224,1
3873,0
4660,1
3138,1
2933,0
4400,0
5779,1
5105,1
347,0
1031,0
2334,0
5255,0
2094,0
364,0
1075,0
426,0
4170,0
2530,0
2483,1
3844,1
35,0
3871,1
6725,0
6088,1
2031,0
4857,0
6941,0
850,0
2014,0
1963,0
3178,1
6232,1
3445,0
2774,0
1412,1
4040,0
5271,0
6371,0
729,0
6907,1
6520,1
6626,1
769,0
1426,0
4646,0
3143,0
3803,1
593,0
288,1
6502,0
3972,0
3906,1
204,0
6964,0
1641,0
4823,1
5497,1
6288,0
4207,0
4775,1
4972,0
6398,1
6235,1
6140,0
6425,0
4601,0
2694,0
2260,1
2319,0
3657,0
952,0
3316,0
3555,1
6638,0
6004,0
940,0
3742,0
1965,1
3491,0
3080,0
6194,0
2272,0
2557,0
889,1
5885,0
5627,0
5972,1
6695,0
62,0
4512,0
5404,0
1083,1
3386,0
1188,0
458,0
1069,0
3205,0
4083,1
4396,1
1162,0
1307,0
873,1
1128,0
4144,0
6083,0
2589,1
4893,1
233,0
4880,0
1160,0
4614,0
4109,1
3505,0
1709,0
1993,1
1819,0
6243,0
571,0
2090,0
4941,1
3195,0
199,0
4394,0
281,0
1027,0
3033,0
5205,0
1527,0
6526,1
6802,0
6290,1
5165,1
2110,0
2521,1
66,0
2814,0
1087,0
4860,0
2311,0
2262,1
2526,1
5265,0
6264,0
5776,0
6624,0
6041,0
5093,0
3675,0
446,1
5368,1
1319,1
1230,0
5969,0
2288,0
2969,0
1439,1
5722,1
3969,0
3481,0
1926,1
396,0
4107,0
6104,0
4407,0
6446,0
3097,0
4554,0
1513,1
3215,0
5548,0
6052,0
6120,0
2803,0
6984,0
4846,0
3508,0
3283,0
4088,1
3899,0
2840,0
1547,1
3327,0
492,1
4834,0
4130,0
409,1
3409,0
3938,0
2226,0
6196,0
2867,0
2126,0
312,0
4152,0
3959,0
2021,0
6716,1
6891,0
2918,0
4617,0
1660,0
6671,0
2015,0
725,0
1265,0
3599,0
3669,0
3910,1
1358,0
4609,0
2821,1
3312,0
5359,1
5863,1
5986,0
6421,0
2357,0
3360,1
6242,0
4459,1
721,0
6285,0
487,0
2485,1
2825,0
5801,0
5988,0
179,0
139,1
4416,0
3623,0
3381,0
2800,0
6257,1
1941,0
6162,0
5108,0
4007,0
1931,0
4232,1
4508,0
6407,0
751,0
2845,0
1596,0
5159,0
890,0
3976,1
1485,1
1203,0
848,0
3058,1
4527,1
4206,0
5971,0
1781,0
6314,0
1540,0
4721,1
767,0
6490,0
4769,0
4146,1
6272,0
2843,0
4497,0
3769,0
3645,0
290,1
3239,0
6537,1
3672,1
1791,0
659,0
157,0
3510,0
2013,0
6786,1
6632,1
5782,1
2002,0
6920,0
2945,0
4981,1
1813,0
60,0
1859,1
3463,0
3789,0
3954,0
5346,0
4611,0
1876,0
1860,0
3008,0
4950,1
3558,0
6076,0
2869,1
6283,1
6496,1
885,0
3245,1
4728,0
4649,0
1302,0
6866,1
677,1
3102,1
4772,0
6340,0
1181,1
158,0
3680,1
3793,0
421,0
1686,1
843,0
6951,0
2113,0
5149,0
3840,0
3034,1
5636,1
4561,0
3400,0
332,0
26,1
719,0
755,1
2855,0
6159,0
2788,0
2648,0
2963,0
6814,0
4822,0
31,0
3830,1
6745,1
2514,1
5703,0
273,0
1471,0
4930,0
3370,0
5745,0
1300,0
3701,0
5253,0
5187,0
3847,0
1702,1
811,1
543,1
664,0
6817,0
1607,1
3162,0
209,0
4435,0
6091,1
5460,0
2360,0
3890,1
1219,0
2138,0
3175,1
946,0
2167,1
223,1
3373,1
1851,1
2473,0
1511,0
2783,0
6943,1
1837,1
279,0
3958,1
3962,1
1537,0
5021,0
1195,0
425,0
5699,0
5760,0
4363,0
3214,0
5223,0
7036,0
3469,0
892,0
6172,1
146,0
5586,0
1208,1
4016,0
2730,0
2263,1
2315,0
5334,1
4366,0
6945,1
5216,1
3335,0
3684,0
2795,1
4260,0
5792,1
6025,0
3929,0
6098,0
4404,0
5701,0
1229,0
3348,0
1127,0
2140,1
6830,0
5369,0
376,0
490,0
2960,1
3365,0
5035,0
4257,0
3307,0
6878,1
2747,0
6247,0
1223,1
2717,0
1295,0
2813,0
6555,0
1679,0
289,1
5179,1
1287,0
4888,0
1840,1
4661,0
1123,0
1479,0
6909,0
6497,0
707,0
5004,0
4774,0
2758,0
189,0
5311,1
1015,1
5022,0
2612,0
5489,0
3302,1
6066,1
5712,0
1980,0
4855,0
2609,1
4248,0
2639,1
4912,1
2703,1
2647,0
4233,0
5380,1
2559,0
2659,0
5196,0
6176,1
1456,1
6370,1
744,0
4119,0
3852,0
4587,0
6710,0
1936,0
5250,0
2874,0
2563,1
989,0
3393,0
528,0
5691,0
3671,1
3045,0
5077,0
6538,1
5290,0
2159,0
5084,0
1225,1
3480,0
1111,1
3075,0
1898,1
3739,0
4689,0
2575,0
2123,0
5252,0
906,0
1648,0
51,1
4602,0
1676,0
3713,1
5905,0
412,0
3145,1
5737,0
502,0
4687,1
2735,0
5210,1
3303,1
5742,0
3566,0
2676,0
3037,0
3052,0
3260,1
5852,1
215,0
5284,1
6458,0
912,0
5233,1
2009,0
3391,0
355,1
2975,0
2066,0
4212,1
6199,1
6409,0
618,0
992,0
38,1
2904,1
203,0
4861,0
5331,0
3593,1
3071,0
5428,1
6449,0
3350,1
2974,1
1799,1
198,0
5488,0
3534,1
4306,0
2866,0
2157,0
4588,0
2041,0
1850,0
3261,0
2333,0
4593,0
6008,0
1180,0
5094,0
1151,0
5156,0
6460,1
4671,1
5822,0
1359,1
6825,0
3792,1
3930,0
4252,0
4014,0
6730,0
5398,0
1520,0
1262,0
5797,0
4821,0
1266,0
4597,1
2074,1
3963,0
322,0
4874,1
5209,0
4633,0
3513,0
6561,0
2383,0
5026,0
6900,0
6663,0
5861,0
577,0
6506,1
4163,0
4592,0
6300,0
1119,0
2512,0
53,1
222,0
1622,0
1955,0
4240,1
1458,1
5499,1
5908,1
3797,0
6953,1
2413,0
6824,1
4367,0
5343,0
3246,1
1334,1
2777,0
920,0
277,0
5612,0
1045,0
6644,0
4865,0
2726,0
2149,0
1594,0
4532,1
6260,0
6344,1
6960,0
302,0
1149,1
5892,0
4329,1
3110,0
6428,1
5139,0
4866,0
6879,0
6410,0
6737,0
1153,0
1424,0
2826,0
3336,0
5677,0
5003,1
1815,0
2686,1
4,1
938,0
274,1
3394,0
2393,1
3474,0
5598,0
1780,1
1968,0
1619,0
1584,0
2214,1
423,0
3578,0
5044,0
4936,0
6231,1
4889,0
6211,1
1349,0
5625,0
4158,0
3540,0
2318,0
5787,1
2956,0
1578,1
5567,0
6843,1
1367,0
2509,0
3094,0
2661,0
4032,0
4436,0
924,0
3181,0
1352,0
5435,0
2308,0
3099,0
3893,0
6337,0
2119,0
2801,0
1053,1
3375,0
4203,0
4519,0
55,1
6835,0
3289,0
3849,1
2919,0
6302,1
2773,0
6459,0
2970,1
3417,0
1538,1
342,0
6615,0
2999,0
3344,1
5463,1
6334,0
100,0
6722,0
796,0
4270,0
3823,0
2674,0
4564,1
3106,0
3207,0
3070,0
4191,0
4540,0
3966,0
1212,0
6248,0
2629,1
1603,1
5220,0
941,0
5689,0
2782,0
722,1
1372,0
856,0
4994,1
4897,0
23,0
6033,1
2902,0
1157,0
1572,1
1666,0
1131,1
4331,0
329,0
3315,0
1172,0
1205,1
6567,0
6738,0
2289,0
6895,0
3337,0
661,0
2070,1
3465,0
2307,0
4350,0
2580,0
5374,1
2397,1
2447,0
6065,0
1118,0
1044,0
5817,1
2725,0
5611,0
4921,0
6623,1
6336,0
3881,0
695,0
3831,1
1375,0
3715,0
716,0
1481,0
3357,1
1054,1
3636,0
933,1
3326,1
4295,0
4395,1
6758,0
4078,1
3798,0
4995,1
1742,1
10,0
3451,0
5106,0
6970,1
5177,1
1049,1
5277,1
6155,1
2684,0
4904,0
1682,0
1649,0
5154,1
1778,0
6157,1
777,1
6352,0
2846,0
180,1
4716,0
1065,1
6509,1
1060,0
228,0
4998,0
5711,1
1186,0
2915,0
6818,0
477,0
5302,0
384,0
5183,1
999,0
1975,0
838,0
1173,1
1063,0
715,0
3103,1
3795,0
5496,0
3843,1
3921,0
3888,1
2812,1
3396,0
1222,0
6405,0
5067,0
5849,0
4856,1
5471,0
4723,1
2222,0
5927,0
929,0
6440,0
1156,0
1758,0
2729,1
1442,0
6575,0
6182,0
1730,1
6135,0
7008,1
1772,1
4361,0
6452,0
3140,0
2452,1
5169,0
3182,0
5707,0
1064,0
6887,0
5413,0
5120,1
2420,0
1495,0
1462,0
967,0
1440,0
5283,0
878,0
5992,1
991,0
6694,0
170,0
2967,0
2504,1
3287,1
5275,1
1557,0
2347,0
1267,0
545,0
5736,0
584,0
2939,1
3219,0
2285,1
7017,0
3613,0
2501,0
6420,0
7025,0
6246,0
4229,0
3594,0
2698,0
3467,1
1357,0
6146,1
3152,0
1478,1
3638,1
5100,1
2603,0
3419,0
3385,1
2561,0
1066,0
2742,0
182,1
117,1
1387,0
211,0
1409,0
810,1
2249,0
6617,0
3922,0
1365,1
833,0
4110,0
6828,0
2313,0
5735,0
4831,0
4507,0
5017,0
523,1
3874,0
2321,0
5085,0
6628,0
1246,0
5914,0
1034,0
5894,1
276,1
4858,0
665,0
3332,1
6972,1
5002,0
3567,1
644,0
5259,0
773,1
653,0
6697,0
32,0
1973,0
4826,1
2187,0
1460,1
2554,0
5605,0
786,0
4848,1
2338,0
3043,1
6000,0
3305,0
3256,0
824,0
4691,1
3752,0
6596,0
6380,0
3476,0
3159,0
3808,0
5431,0
868,1
2210,0
4699,0
4863,0
2353,0
1602,1
2570,1
3870,0
6276,0
4251,0
3496,0
3494,1
2037,0
4872,0
762,1
2787,0
6934,0
235,1
6119,0
6998,0
3107,0
4640,1
5054,0
655,0
5462,0
3285,0
4796,0
3399,0
1970,1
299,1
5247,1
2689,0
2769,1
4156,0
6859,0
3845,1
6796,1
3763,1
3317,0
6209,0
1986,0
4010,0
4118,0
1743,0
5751,0
2490,0
6655,0
3006,1
389,0
1100,0
6551,0
6980,1
6374,0
1197,0
2617,1
230,0
6129,0
4510,0
5513,0
3696,1
2870,0
413,0
6397,0
2921,1
6095,0
704,0
1759,0
5728,1
5653,1
6997,0
1461,0
3460,0
4079,0
5409,1
1469,1
736,0
3857,0
3832,0
4734,1
5353,0
4862,1
1486,1
4747,0
2534,0
4460,0
2903,0
2732,0
1808,1
4670,0
6479,1
1070,1
6018,0
340,0
5509,1
6219,1
5074,0
4493,0
4882,0
3603,1
4718,0
4778,0
1901,0
1644,1
4340,0
705,1
5507,0
4036,0
3368,0
2839,0
1418,0
4571,0
1202,1
207,1
4812,1
2673,1
4197,0
628,0
6864,1
4085,0
4030,0
2910,0
1897,1
3062,0
5285,0
5008,0
251,1
2291,1
2677,1
6740,1
4974,1
864,1
6234,0
4657,0
4303,0
1809,1
6603,0
2605,0
3054,0
5897,0
319,0
234,0
4033,0
4021,1
5261,0
3186,0
6414,0
5554,0
5962,0
837,1
1021,0
4675,1
5599,1
44,0
6702,0
6144,0
4951,0
965,1
1699,0
6303,0
2983,0
2408,0
1831,0
2752,1
178,0
346,1
3942,1
6512,0
6168,1
3989,0
3249,0
3223,0
5011,0
4443,0
4122,0
2522,0
1370,0
6491,1
5864,0
6201,0
1035,0
3216,1
5536,1
5848,0
3616,0
2900,1
6359,0
2459,0
2366,1
3617,1
3325,1
4894,0
4241,1
2957,0
5634,1
5895,0
7041,1
841,0
4344,0
361,0
6130,0
1124,0
620,0
3263,0
3472,0
997,1
6794,0
5031,0
1430,0
5518,1
3991,1
6022,0
6767,0
6038,1
5433,0
6873,0
6494,0
5038,0
482,0
3411,1
50,0
697,1
5184,0
6821,1
1650,1
616,0
4916,0
2757,0
370,0
1726,0
6973,0
5545,0
4942,1
2687,0
691,0
3188,1
5397,1
6932,0
6525,0
2202,1
1170,0
1827,0
2111,0
3824,0
3353,0
2615,0
5719,0
6507,1
3329,0
5524,0
5597,1
714,0
6377,1
2584,0
3211,0
1011,0
3917,1
3416,0
6621,0
354,1
827,0
2739,0
1984,1
5638,1
43,0
4817,0
6443,0
2085,1
5063,1
455,0
2296,0
4319,0
1658,1
3484,0
4552,0
2806,0
514,0
1101,0
116,0
5310,0
362,0
3148,0
6190,1
5075,0
4754,0
1818,0
1245,0
3237,0
1870,0
3253,0
4915,0
6269,0
1651,1
351,0
2805,0
4059,1
4294,0
4051,0
1692,0
6353,0
28,0
1690,0
1299,1
768,0
6704,0
293,0
2861,1
6439,0
2183,0
1425,0
3609,0
4943,0
1232,1
1912,0
738,0
5080,0
1473,1
6463,0
6995,0
3573,0
4154,1
2266,0
1789,0
4278,0
1455,0
2668,1
4081,1
1605,0
5901,1
1767,0
5596,0
6419,0
3185,1
4327,0
1198,0
4164,0
3909,0
3981,0
4485,0
5341,1
1907,0
1829,0
3346,0
110,1
310,0
5680,1
6082,1
7024,0
3401,0
2443,0
5743,0
6999,1
3523,0
5624,0
2193,0
821,0
1733,0
6332,0
5278,0
1861,1
6805,0
5136,0
902,1
5758,0
6361,0
1717,0
6753,0
6387,0
3802,0
6915,0
2545,0
638,1
1842,0
4909,0
3024,0
6436,0
4076,0
6906,0
547,0
2089,0
3483,0
3904,0
7005,0
1215,1
5935,0
5130,1
4413,1
4804,0
3867,0
2389,0
4037,0
149,0
6092,0
3532,1
2195,0
4105,0
875,0
732,0
1846,0
5317,1
4545,0
6643,0
4392,0
6020,0
1991,0
1718,0
881,0
4825,0
5610,1
5921,0
3113,0
3183,1
2122,0
6030,1
4618,0
3722,0
5883,0
352,0
6106,1
1645,1
1377,0
5493,1
3293,0
613,0
3990,0
4549,0
5978,0
631,0
1798,0
5469,0
5938,0
2306,0
3568,0
5378,0
5593,0
5138,0
4390,0
381,1
6763,0
4838,0
349,0
89,0
1423,1
4777,0
5099,1
1217,0
2775,1
5320,0
1190,0
2406,1
496,0
5446,1
2833,0
5529,0
1509,1
1670,1
5874,1
5789,0
5281,0
4596,0
3503,0
1347,0
5348,0
5628,1
2102,0
1932,0
1900,0
3068,0
3704,0
3790,1
5956,1
3066,0
1058,1
5949,0
5958,0
2728,0
303,0
3471,0
862,1
504,0
5231,1
6600,1
3542,0
2917,0
5091,1
5242,1
369,0
6206,0
6711,0
1995,1
1792,0
1713,0
5814,0
2705,0
6046,0
3964,0
6976,0
615,0
4001,0
4926,0
3101,0
4330,1
2890,1
174,0
4797,0
6654,1
973,1
1029,1
6390,0
6003,0
5167,0
4271,0
1010,0
2478,0
1213,0
3516,1
6223,1
6583,0
194,0
2864,0
2404,0
1756,0
150,0
2952,0
4471,1
4264,0
3198,0
4647,0
3466,0
2560,1
1748,0
6854,0
2052,0
3296,0
4138,1
187,0
2175,1
4522,0
5558,0
5188,0
4791,0
3023,0
4580,0
830,1
1833,0
5468,1
2277,1
113,1
6815,0
2449,0
5733,0
6958,0
5813,0
939,0
6480,0
686,0
3299,0
4038,0
2095,1
2613,1
5118,0
527,0
5821,0
3446,0
5520,0
3020,0
5144,0
305,0
3022,0
3900,0
6124,0
3589,0
763,0
3698,0
6684,0
6988,0
6875,0
4276,1
1526,0
493,0
958,0
5522,1
280,0
2142,0
5532,0
3639,0
5324,0
5544,1
4639,0
2434,0
5411,1
1522,1
5668,0
1086,1
6035,1
1630,0
1882,0
5843,0
1647,1
3673,1
2539,0
1290,0
7034,1
6011,0
5394,0
1888,0
6089,1
6362,0
6773,1
720,0
3791,0
5925,0
168,1
452,0
1401,1
3736,0
5637,0
4026,0
3591,1
2990,1
2784,1
2497,0
6470,0
5871,1
5458,1
927,1
6714,0
2541,0
2137,0
1078,0
2693,0
7019,0
3618,0
5669,0
2853,0
1849,1
1327,1
4977,0
5491,0
565,0
3100,0
6990,0
3059,0
6027,0
877,0
6791,1
4637,0
6320,0
5907,0
723,1
2023,1
1662,1
6471,0
1280,0
776,0
6515,1
2185,1
6054,1
4521,0
4853,0
4956,1
2246,1
2350,0
6691,0
5702,1
6605,1
1945,0
1091,0
4918,0
1950,1
5121,0
4978,1
5632,0
6570,0
1449,0
6963,0
578,0
6312,1
730,1
1496,0
4814,1
2255,0
2793,0
3322,1
3155,0
6241,1
568,1
6785,1
6180,0
5630,1
1891,1
2177,0
6736,0
6078,0
2518,0
1922,0
2238,0
2188,0
5857,1
6588,0
5286,1
2681,0
3002,0
2029,1
4441,0
979,0
6189,0
226,0
265,0
46,0
5027,1
4027,1
5107,0
3622,0
7006,1
4849,0
546,1
5803,1
4963,0
3553,0
3818,0
4155,0
1354,1
542,0
4304,0
4020,0
4300,0
3142,1
3864,1
2665,0
4953,0
1548,0
2227,0
3838,0
1689,0
5741,1
6381,0
6685,0
826,1
6810,1
1631,1
5399,0
6315,0
6554,1
3333,0
900,0
6093,0
3879,1
5535,0
3377,0
5125,1
4509,1
5273,0
3951,0
2465,1
642,1
3028,1
5009,0
6424,1
1043,1
515,1
2153,0
2079,0
1680,0
6597,1
363,0
5589,1
1076,0
107,0
5042,0
819,0
1502,0
5931,1
2229,0
6863,0
3747,0
3267,0
4589,0
333,1
1524,0
3053,0
6965,0
315,0
127,0
2454,0
58,0
1410,1
1542,0
3782,0
3629,0
4352,0
3839,0
1574,0
1665,0
6117,0
6935,0
433,1
201,0
4430,0
3737,1
4684,1
85,0
4385,0
5481,1
6009,1
1168,0
3236,0
1550,0
5407,0
5856,0
377,1
3497,0
4501,0
1175,0
3778,0
6307,0
6892,0
2701,0
2426,0
98,0
6760,1
1913,0
3458,1
6726,1
6536,0
5651,1
1288,0
