,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
36,1,0,1,0,72,1,1,1,1,1,1,1,1,1,91.15,6637.9,1,0,0,0,0,1,1,0,0,0
37,1,0,1,1,50,1,0,0,0,1,1,1,1,0,103.05,5153.5,0,1,0,0,1,0,0,0,0,1
38,0,1,1,0,71,1,1,1,1,1,1,0,0,1,92.0,6585.2,0,1,0,0,1,0,0,0,1,0
39,0,0,1,0,58,1,0,0,0,1,0,0,0,0,50.3,2878.55,1,0,0,0,1,0,0,1,0,0
40,0,0,1,1,63,1,0,0,0,0,0,0,0,0,19.7,1275.85,0,0,1,0,0,1,0,0,0,1
41,1,0,1,0,46,0,0,0,0,0,0,1,1,1,43.95,2007.85,1,0,0,1,0,0,0,0,1,0
42,1,1,0,0,46,1,1,0,0,1,1,0,1,1,69.1,3255.35,1,0,0,0,1,0,0,1,0,0
43,1,0,0,0,4,1,1,0,0,0,1,1,1,1,100.85,399.25,0,1,0,1,0,0,0,0,0,1
44,0,0,1,1,5,1,0,1,0,1,0,0,1,1,90.35,434.5,0,1,0,1,0,0,0,0,0,1
45,1,0,1,1,59,1,0,0,0,0,0,0,0,0,20.6,1286.0,0,0,1,0,0,1,0,0,0,1
46,1,0,1,0,72,1,1,1,1,0,1,1,1,1,86.4,6058.95,1,0,0,0,0,1,1,0,0,0
47,1,0,1,1,52,1,0,0,1,1,1,0,0,0,85.8,4433.3,0,1,0,1,0,0,1,0,0,0
48,0,0,1,1,70,1,1,1,1,0,0,1,0,1,97.55,6669.05,0,1,0,1,0,0,0,1,0,0
49,0,0,0,0,28,1,0,0,0,1,1,0,1,0,91.0,2626.15,0,1,0,1,0,0,0,0,1,0
50,1,0,1,0,49,1,1,1,1,1,1,0,1,0,106.65,5174.35,0,1,0,0,0,1,0,1,0,0
51,1,0,0,0,3,1,1,0,0,0,0,0,0,0,76.1,257.6,0,1,0,1,0,0,0,0,1,0
52,1,0,0,0,26,1,1,1,1,0,0,1,0,1,69.5,1800.05,1,0,0,1,0,0,1,0,0,0
53,0,0,0,0,62,0,0,1,1,1,1,0,0,1,43.7,2618.3,1,0,0,0,0,1,1,0,0,0
54,1,0,1,0,28,1,0,0,0,0,0,0,0,0,20.5,563.05,0,0,1,1,0,0,0,0,0,1
55,1,0,0,0,8,1,0,0,0,0,0,0,0,0,44.45,369.3,1,0,0,1,0,0,0,0,0,1
56,0,0,1,1,29,1,1,0,1,1,0,1,1,0,80.1,2211.8,1,0,0,1,0,0,0,1,0,0
57,1,0,1,1,72,1,1,1,1,0,1,0,0,0,66.75,4760.3,1,0,0,0,0,1,0,1,0,0
58,1,1,1,0,31,1,1,0,0,0,0,0,1,1,84.85,2633.4,0,1,0,1,0,0,0,0,1,0
59,1,0,0,0,53,1,1,0,1,1,0,1,1,0,105.55,5682.25,0,1,0,0,0,1,0,0,1,0
60,0,0,0,0,7,0,0,0,0,0,0,0,0,1,24.35,150.85,1,0,0,0,1,0,0,1,0,0
61,1,0,1,1,72,1,1,1,1,1,1,1,1,1,93.25,6688.95,1,0,0,0,0,1,1,0,0,0
62,0,0,0,0,46,0,0,0,0,1,1,0,0,0,33.7,1537.85,1,0,0,0,1,0,0,1,0,0
63,0,0,0,0,27,1,0,1,0,1,1,1,1,0,81.7,2212.55,1,0,0,0,1,0,0,0,1,0
64,0,0,0,0,66,1,0,0,0,0,0,0,0,0,19.7,1253.8,0,0,1,0,0,1,1,0,0,0
65,1,0,1,0,62,1,1,1,1,0,1,1,1,1,84.95,5150.55,1,0,0,0,0,1,0,0,1,0
66,0,0,0,0,63,1,0,1,1,1,1,1,1,1,86.7,5309.5,1,0,0,0,0,1,1,0,0,0
67,0,0,0,0,15,1,0,0,0,1,0,1,0,0,85.3,1219.85,0,1,0,1,0,0,0,0,1,0
68,1,0,1,0,46,1,1,0,1,0,1,1,1,1,103.15,4594.65,0,1,0,0,1,0,0,0,1,0
69,0,1,1,0,72,1,0,1,1,0,1,0,0,1,84.8,6141.65,0,1,0,0,0,1,0,1,0,0
70,1,0,0,0,5,1,0,0,1,0,0,1,0,1,85.3,420.45,0,1,0,1,0,0,0,0,0,1
71,0,1,1,0,23,1,0,1,1,0,0,0,1,1,90.0,2024.1,0,1,0,1,0,0,0,0,1,0
72,0,0,0,0,21,1,0,0,0,0,0,0,0,0,20.5,402.85,0,0,1,1,0,0,0,1,0,0
73,1,0,1,0,26,1,0,0,0,0,0,0,0,0,19.2,459.6,0,0,1,0,1,0,0,0,0,1
74,1,0,1,0,42,1,1,0,0,0,0,0,0,0,25.25,1108.2,0,0,1,0,0,1,0,0,1,0
75,0,0,1,1,43,1,1,0,0,0,0,0,0,0,24.25,1077.95,0,0,1,0,0,1,0,0,0,1
76,1,0,0,0,68,1,1,1,0,0,0,0,0,0,54.45,3687.75,1,0,0,1,0,0,0,0,0,1
77,1,0,0,0,1,1,0,0,1,0,0,0,0,0,49.95,49.95,1,0,0,1,0,0,0,0,1,0
78,0,0,0,0,13,1,0,0,0,0,0,0,0,1,70.15,931.75,0,1,0,1,0,0,0,0,1,0
79,0,0,0,0,24,1,1,0,1,1,0,0,0,1,84.85,2048.8,0,1,0,1,0,0,1,0,0,0
80,1,0,1,0,46,1,1,1,0,0,0,0,0,0,55.0,2473.95,1,0,0,1,0,0,1,0,0,0
81,0,0,1,1,56,0,0,0,1,1,0,0,0,1,36.1,1971.5,1,0,0,0,1,0,0,1,0,0
82,1,0,0,0,72,1,0,0,0,0,0,0,0,0,20.25,1566.9,0,0,1,0,0,1,0,1,0,0
83,0,0,1,1,4,1,0,0,0,0,0,0,0,1,20.5,77.6,0,0,1,1,0,0,0,0,0,1
84,1,0,0,0,1,1,0,0,0,0,0,0,0,0,19.65,19.65,0,0,1,1,0,0,0,0,0,1
85,1,0,1,1,64,1,1,0,1,0,0,0,0,1,53.85,3399.85,1,0,0,0,1,0,1,0,0,0
86,0,0,1,1,69,1,1,0,0,0,0,0,0,0,24.45,1718.2,0,0,1,0,0,1,1,0,0,0
87,1,0,0,0,29,1,1,0,0,1,0,1,1,0,100.55,2878.75,0,1,0,1,0,0,1,0,0,0
88,1,1,1,0,25,1,0,0,0,0,0,0,0,1,69.3,1813.1,0,1,0,1,0,0,0,0,1,0
89,0,1,1,0,51,0,0,0,1,0,0,0,0,1,29.45,1459.35,1,0,0,1,0,0,0,1,0,0
90,0,1,0,0,11,1,1,1,1,0,0,0,0,0,60.25,662.95,1,0,0,1,0,0,1,0,0,0
91,0,0,1,1,34,1,0,0,0,0,0,0,1,1,78.95,2647.2,0,1,0,0,1,0,1,0,0,0
92,1,0,1,1,39,1,1,0,0,0,0,0,0,1,24.2,914.6,0,0,1,0,1,0,0,0,0,1
93,0,1,0,0,32,1,1,0,0,1,0,0,0,1,81.1,2619.25,0,1,0,1,0,0,0,1,0,0
94,1,0,0,0,1,1,0,0,1,0,0,0,0,0,49.95,49.95,1,0,0,1,0,0,0,0,1,0
95,1,0,0,0,8,1,1,1,1,1,0,0,0,1,65.5,573.15,1,0,0,1,0,0,1,0,0,0
96,1,0,1,1,3,1,0,0,0,0,0,0,0,0,19.1,52.0,0,0,1,0,0,1,0,0,0,1
97,1,0,0,0,37,1,1,1,0,0,0,1,0,0,64.65,2347.85,1,0,0,0,1,0,1,0,0,0
98,1,0,0,0,17,1,0,1,1,0,1,1,1,0,79.85,1387.35,1,0,0,0,1,0,0,1,0,0
99,1,0,0,0,13,1,0,0,0,0,0,0,0,0,19.65,244.8,0,0,1,0,1,0,0,0,1,0
100,0,0,0,0,72,0,0,1,1,1,1,1,1,1,65.55,4807.45,1,0,0,0,0,1,1,0,0,0
101,1,0,0,1,10,1,1,1,0,1,1,0,1,0,73.55,693.3,1,0,0,0,1,0,0,1,0,0
102,0,0,0,1,39,0,0,1,0,0,1,1,0,0,45.05,1790.6,1,0,0,0,1,0,1,0,0,0
103,0,0,0,1,2,1,0,0,0,0,0,0,0,0,20.4,42.9,0,0,1,1,0,0,0,0,0,1
104,1,0,1,0,62,1,1,0,0,0,0,0,0,0,23.65,1416.75,0,0,1,0,0,1,1,0,0,0
105,0,1,1,0,37,1,0,0,0,0,0,0,0,1,72.25,2575.45,0,1,0,1,0,0,1,0,0,0
106,1,0,0,1,18,1,1,1,0,0,0,0,0,0,57.65,992.7,1,0,0,1,0,0,0,0,0,1
107,1,0,0,0,58,1,1,0,0,0,0,0,0,0,24.35,1423.85,0,0,1,0,0,1,0,1,0,0
108,1,0,0,0,61,1,1,0,0,1,0,0,1,0,89.2,5500.6,0,1,0,1,0,0,0,0,0,1
109,1,0,1,0,72,1,1,1,0,1,1,1,1,1,84.9,6065.3,1,0,0,0,0,1,1,0,0,0
110,1,0,0,0,54,1,1,0,1,1,0,1,0,1,94.75,5121.75,0,1,0,0,1,0,1,0,0,0
111,0,0,1,0,18,1,1,0,0,0,0,0,0,1,73.15,1305.95,0,1,0,1,0,0,0,0,1,0
112,1,0,0,0,6,1,0,0,0,0,0,0,0,0,70.55,433.95,0,1,0,1,0,0,0,1,0,0
113,0,0,0,0,14,1,0,0,0,1,0,0,0,0,76.45,1117.55,0,1,0,1,0,0,0,0,1,0
114,1,0,0,0,1,1,0,1,1,0,1,0,0,1,83.4,83.4,0,1,0,1,0,0,0,0,0,1
115,0,0,0,1,62,1,0,1,1,0,0,0,0,0,56.15,3487.95,1,0,0,0,1,0,1,0,0,0
116,0,0,0,0,1,1,0,0,1,0,0,0,0,1,50.15,50.15,1,0,0,1,0,0,0,0,0,1
117,1,0,1,0,72,0,0,1,1,1,0,0,1,1,49.2,3580.95,1,0,0,0,0,1,0,0,1,0
118,0,0,0,0,11,1,0,0,1,1,1,0,0,1,60.9,688.5,1,0,0,1,0,0,0,0,1,0
119,0,1,1,0,71,0,0,1,1,1,1,0,0,0,46.35,3353.4,1,0,0,0,0,1,0,1,0,0
120,1,0,0,0,9,1,0,0,0,1,0,0,1,1,85.3,781.4,0,1,0,1,0,0,0,1,0,0
121,1,0,1,0,59,1,0,0,1,0,1,1,1,1,100.05,6034.85,0,1,0,0,0,1,0,0,0,1
122,1,0,0,1,8,1,0,0,0,0,0,0,0,0,19.95,170.9,0,0,1,1,0,0,0,0,0,1
123,1,1,0,0,45,1,1,1,1,0,1,1,0,1,97.05,4385.05,0,1,0,1,0,0,0,0,1,0
124,1,0,1,0,2,1,0,0,0,0,0,0,0,1,45.0,89.75,1,0,0,1,0,0,0,0,1,0
125,0,0,1,0,30,1,1,0,0,0,0,0,0,0,49.9,1441.95,1,0,0,1,0,0,0,0,1,0
126,1,0,1,1,42,1,1,1,1,0,0,1,0,1,94.45,3923.8,0,1,0,0,1,0,0,1,0,0
127,0,0,0,0,1,1,0,0,0,0,0,0,0,1,19.5,19.5,0,0,1,1,0,0,0,0,0,1
128,1,0,1,0,68,1,1,1,1,1,1,1,1,0,118.6,7990.05,0,1,0,0,0,1,0,0,0,1
129,1,0,0,0,26,1,0,0,1,1,0,0,0,1,56.05,1553.2,1,0,0,0,1,0,0,0,0,1
130,0,0,0,0,7,1,0,0,0,0,0,0,0,1,69.55,521.35,0,1,0,1,0,0,0,0,1,0
131,1,0,0,0,24,1,0,1,0,0,1,0,0,0,56.35,1381.2,1,0,0,1,0,0,0,1,0,0
132,1,1,1,1,28,0,0,0,0,0,0,1,0,1,35.9,973.65,1,0,0,1,0,0,0,0,1,0
133,0,0,1,0,67,1,0,1,1,0,1,0,1,1,69.2,4671.65,1,0,0,0,0,1,0,1,0,0
134,1,0,1,1,24,0,0,1,1,1,1,0,1,1,52.5,1208.15,1,0,0,0,0,1,0,0,0,1
135,1,0,1,1,7,1,0,0,0,0,0,0,0,0,20.65,134.05,0,0,1,0,1,0,0,0,0,1
136,1,0,1,0,12,1,0,0,1,0,0,0,0,1,51.25,612.1,1,0,0,1,0,0,0,0,1,0
137,0,0,0,0,72,0,0,1,1,1,1,1,1,1,65.55,4807.45,1,0,0,0,0,1,1,0,0,0
138,0,0,1,0,52,1,0,1,1,1,1,1,1,1,106.3,5487.0,0,1,0,0,0,1,0,0,1,0
139,1,0,1,1,5,1,0,0,0,0,0,0,0,0,69.95,320.4,0,1,0,1,0,0,0,1,0,0
140,0,0,0,0,11,1,0,0,0,0,0,0,0,0,20.4,231.45,0,0,1,0,0,1,0,0,0,1
141,0,1,1,0,11,1,0,0,0,0,0,0,0,1,70.2,834.7,0,1,0,1,0,0,0,0,1,0
142,1,0,1,1,13,1,0,0,0,0,0,0,0,1,19.75,246.7,0,0,1,0,0,1,1,0,0,0
143,0,0,0,0,72,1,1,1,1,0,1,1,1,0,86.05,6309.65,1,0,0,0,0,1,0,1,0,0
144,1,0,1,1,72,1,1,1,0,1,1,1,1,1,110.45,8058.85,0,1,0,0,0,1,1,0,0,0
145,0,0,0,0,14,0,0,0,0,1,1,1,1,1,55.0,771.95,1,0,0,1,0,0,0,0,1,0
146,1,0,0,1,22,0,0,0,0,1,0,1,1,1,49.45,1031.4,1,0,0,0,1,0,0,1,0,0
147,0,0,0,0,54,1,0,1,1,0,0,1,0,1,65.3,3512.9,1,0,0,0,0,1,1,0,0,0
148,0,0,1,1,45,1,1,0,1,1,0,1,1,0,78.75,3600.65,1,0,0,0,1,0,0,1,0,0
149,1,0,0,0,11,1,0,0,0,0,1,1,1,0,70.5,829.3,1,0,0,1,0,0,0,0,0,1
150,0,0,1,1,56,1,0,1,1,1,0,0,0,1,59.8,3457.45,1,0,0,0,0,1,1,0,0,0
151,1,0,1,0,50,1,1,1,0,1,0,1,1,1,104.4,5232.9,0,1,0,0,1,0,0,0,0,1
152,1,0,0,0,25,0,0,0,0,1,1,1,1,0,54.2,1423.15,1,0,0,0,1,0,0,0,1,0
153,1,0,0,0,39,0,0,0,0,1,0,1,1,1,50.65,1905.4,1,0,0,1,0,0,0,1,0,0
154,0,0,1,0,62,1,1,0,0,1,1,1,1,1,107.6,6912.7,0,1,0,0,0,1,1,0,0,0
155,0,0,1,1,52,1,0,0,1,1,1,1,0,1,68.75,3482.85,1,0,0,0,1,0,0,0,1,0
156,1,0,0,0,12,1,0,0,0,0,0,0,0,1,45.0,524.35,1,0,0,1,0,0,1,0,0,0
157,0,0,0,0,13,1,0,0,0,0,0,0,0,0,20.0,268.45,0,0,1,0,0,1,0,1,0,0
158,1,0,1,0,72,1,0,0,0,0,0,0,0,0,20.5,1502.25,0,0,1,0,0,1,0,1,0,0
159,0,0,0,1,27,1,0,0,0,0,0,0,0,0,20.6,581.85,0,0,1,0,0,1,0,0,0,1
160,1,0,1,1,64,1,0,0,0,0,0,0,0,0,19.8,1336.65,0,0,1,0,1,0,1,0,0,0
161,0,0,0,0,2,1,0,0,0,0,0,0,0,0,20.05,33.7,0,0,1,1,0,0,0,0,0,1
162,1,0,1,0,72,1,1,1,1,0,0,0,1,1,94.45,6921.7,0,1,0,0,0,1,0,1,0,0
163,0,1,0,0,72,1,1,0,0,0,0,0,0,0,25.4,1809.35,0,0,1,0,0,1,1,0,0,0
164,0,0,1,1,63,1,1,0,1,1,0,1,1,1,104.8,6597.25,0,1,0,0,0,1,1,0,0,0
165,0,0,1,1,4,1,0,0,0,0,0,0,0,0,19.9,76.65,0,0,1,0,0,1,0,0,0,1
166,0,0,1,0,38,0,0,1,1,0,1,1,1,1,60.0,2193.2,1,0,0,0,0,1,1,0,0,0
167,0,0,0,0,54,1,1,0,0,1,0,0,1,0,89.4,4869.5,0,1,0,1,0,0,0,1,0,0
168,0,0,0,0,17,1,0,0,0,0,0,0,0,0,21.1,385.55,0,0,1,1,0,0,0,1,0,0
169,1,0,1,1,47,1,1,1,1,0,1,1,1,1,85.3,4107.25,1,0,0,0,0,1,0,1,0,0
170,0,0,1,0,72,1,1,1,1,0,1,1,1,1,109.95,7852.4,0,1,0,0,0,1,0,1,0,0
171,0,0,1,1,40,1,1,1,1,0,1,1,1,1,110.1,4469.1,0,1,0,1,0,0,0,1,0,0
172,0,0,0,0,4,1,0,0,0,0,0,0,0,0,19.0,78.9,0,0,1,1,0,0,0,0,0,1
173,0,0,0,0,44,0,0,1,0,1,0,1,1,1,54.0,2440.25,1,0,0,0,1,0,0,0,1,0
174,0,0,0,1,64,1,0,0,1,0,1,1,1,1,99.15,6171.2,0,1,0,1,0,0,0,1,0,0
175,1,0,1,0,72,1,1,1,1,1,1,1,1,1,115.5,8312.75,0,1,0,0,0,1,1,0,0,0
176,0,0,0,1,1,0,0,0,0,0,0,0,0,1,24.7,24.7,1,0,0,1,0,0,0,0,1,0
177,1,0,1,0,1,0,0,0,0,0,0,0,1,0,35.0,35.0,1,0,0,1,0,0,0,0,1,0
178,1,0,1,1,72,1,1,1,1,0,1,1,0,0,99.9,7251.7,0,1,0,0,0,1,1,0,0,0
179,0,0,1,0,35,1,1,0,0,0,1,0,1,1,89.85,3161.2,0,1,0,1,0,0,1,0,0,0
180,1,0,1,1,69,1,1,1,0,1,0,0,0,0,84.45,5848.6,0,1,0,0,1,0,1,0,0,0
181,1,1,1,0,60,0,0,0,1,0,0,1,1,1,49.45,2907.55,1,0,0,0,0,1,0,1,0,0
182,0,0,0,0,67,1,0,0,0,0,1,0,0,0,50.55,3260.1,1,0,0,0,0,1,1,0,0,0
183,0,0,0,0,48,1,0,0,0,0,0,0,0,0,19.85,916.0,0,0,1,0,0,1,0,1,0,0
184,1,0,1,1,5,1,0,0,0,0,0,0,0,0,69.95,320.4,0,1,0,1,0,0,0,1,0,0
185,0,0,1,0,72,1,1,1,1,1,1,1,1,1,114.1,8086.4,0,1,0,0,0,1,0,1,0,0
186,0,1,0,0,3,1,1,0,0,0,0,1,1,1,94.85,335.75,0,1,0,1,0,0,0,0,1,0
187,0,0,0,1,3,1,0,0,0,0,0,0,0,0,20.2,50.6,0,0,1,1,0,0,1,0,0,0
188,0,0,0,0,46,1,0,0,0,0,0,0,0,0,19.95,907.05,0,0,1,0,0,1,0,0,1,0
189,0,0,1,0,15,1,0,0,0,0,0,0,0,0,18.8,294.95,0,0,1,0,1,0,0,0,0,1
190,1,0,1,0,60,1,1,0,1,1,0,1,1,1,106.15,6411.25,0,1,0,1,0,0,0,0,1,0
191,1,0,1,1,34,1,0,1,1,1,1,1,1,0,84.75,2839.45,1,0,0,0,0,1,0,0,0,1
192,1,0,0,0,38,1,1,1,1,1,0,1,1,0,84.1,3187.65,1,0,0,0,1,0,1,0,0,0
193,0,0,1,0,66,1,1,1,1,1,1,1,1,0,91.7,6075.9,1,0,0,0,0,1,1,0,0,0
194,1,0,1,0,48,1,1,0,0,1,1,0,1,1,69.55,3435.6,1,0,0,0,1,0,0,0,0,1
195,0,0,1,1,61,1,0,1,1,1,1,0,0,1,68.05,4158.25,1,0,0,0,0,1,1,0,0,0
196,1,0,1,1,72,1,0,0,0,0,0,0,0,1,20.7,1482.3,0,0,1,0,0,1,0,0,0,1
197,0,0,1,0,47,1,0,0,0,0,0,0,0,0,19.65,973.1,0,0,1,0,0,1,0,0,0,1
198,1,0,0,0,39,0,0,1,1,0,1,0,0,0,41.15,1700.9,1,0,0,0,1,0,1,0,0,0
199,0,0,0,0,36,1,0,0,0,0,0,0,0,1,18.55,689.0,0,0,1,0,0,1,0,1,0,0
200,0,0,1,1,28,1,1,0,1,0,0,0,1,0,64.4,1802.15,1,0,0,1,0,0,0,0,1,0
201,1,0,1,0,26,1,0,0,1,0,1,1,1,1,73.05,1959.5,1,0,0,1,0,0,0,0,1,0
202,1,0,1,0,72,1,1,1,1,1,1,1,0,0,79.2,5401.9,1,0,0,0,0,1,0,1,0,0
203,1,0,1,1,46,0,0,1,1,0,0,0,0,0,35.05,1620.25,1,0,0,1,0,0,1,0,0,0
204,0,0,1,0,62,1,1,0,0,1,1,1,1,1,107.6,6912.7,0,1,0,0,0,1,1,0,0,0
205,1,0,1,0,72,1,1,1,1,1,1,1,1,1,90.95,6468.6,1,0,0,0,0,1,1,0,0,0
206,0,0,1,1,43,1,0,0,0,0,0,0,0,1,19.2,776.25,0,0,1,0,1,0,0,0,0,1
207,1,0,0,0,7,1,0,0,1,0,0,1,1,1,94.05,633.45,0,1,0,0,1,0,0,0,0,1
208,1,0,0,0,11,1,1,0,0,0,0,0,1,1,58.95,601.6,1,0,0,1,0,0,0,0,0,1
209,1,0,0,0,61,1,1,1,1,1,1,1,1,1,118.6,7365.7,0,1,0,0,1,0,0,0,1,0
210,1,0,1,1,72,1,0,1,1,1,1,1,1,1,83.7,6096.9,1,0,0,0,0,1,1,0,0,0
211,1,0,1,1,7,1,0,1,1,1,1,1,0,1,75.7,554.05,1,0,0,1,0,0,0,0,1,0
212,1,0,1,1,9,1,1,0,1,0,0,0,0,1,55.3,501.2,1,0,0,1,0,0,0,0,0,1
213,0,0,1,0,8,1,0,0,0,0,0,0,0,1,19.55,161.15,0,0,1,1,0,0,1,0,0,0
214,1,0,1,1,46,0,0,1,1,0,0,0,0,0,35.05,1620.25,1,0,0,1,0,0,1,0,0,0
215,1,0,1,1,69,1,0,0,0,0,0,0,0,0,19.75,1375.4,0,0,1,0,0,1,1,0,0,0
216,1,0,0,0,15,1,0,0,0,0,0,1,0,0,56.15,931.9,1,0,0,0,1,0,0,0,0,1
217,1,1,1,0,62,1,1,0,1,1,0,1,0,1,97.95,5936.55,0,1,0,0,1,0,0,1,0,0
218,1,1,1,1,59,1,1,0,0,1,0,0,1,1,88.75,5348.65,0,1,0,1,0,0,0,1,0,0
219,0,0,0,0,24,1,1,0,0,0,1,0,0,0,54.6,1242.25,1,0,0,0,1,0,1,0,0,0
220,0,0,1,0,51,1,1,0,1,1,0,1,1,1,106.8,5498.8,0,1,0,0,1,0,1,0,0,0
221,0,0,1,1,23,1,0,0,0,0,0,0,0,0,20.9,454.0,0,0,1,0,0,1,0,0,0,1
222,1,0,0,0,18,1,0,0,0,0,0,0,0,1,19.55,389.25,0,0,1,1,0,0,0,0,0,1
223,1,0,0,0,3,1,0,0,0,0,0,0,0,0,19.55,61.05,0,0,1,1,0,0,0,0,1,0
224,0,1,1,0,29,1,1,0,0,0,1,0,0,1,79.3,2414.55,0,1,0,1,0,0,0,0,1,0
225,0,1,1,0,65,1,1,1,0,0,0,1,1,1,100.75,6674.65,0,1,0,0,1,0,0,0,1,0
226,0,0,1,0,22,1,0,1,1,0,1,1,1,1,104.6,2180.55,0,1,0,1,0,0,0,0,1,0
227,1,0,1,0,38,1,0,0,0,0,0,0,0,1,20.25,814.75,0,0,1,0,1,0,0,1,0,0
228,1,0,0,0,3,1,0,0,0,1,0,1,0,0,57.55,161.45,1,0,0,1,0,0,0,0,1,0
229,0,0,1,1,55,1,0,1,0,0,0,0,1,0,59.45,3157.0,1,0,0,0,1,0,0,1,0,0
